"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Applications of Federated Learning in Manufacturing: Identifying the Challenges and Exploring the Future Directions with Industry 4.0 and 5.0 Visions","https://scispace.com/paper/http://arxiv.org/abs/2302.13514v2","2023","Preprint","","Farzana Islam
Ahmed Shoyeb Raihan
Imtiaz Ahmed","","https://arxiv.org/pdf/2302.13514v2","In manufacturing settings, data collection and analysis are often a time-consuming, challenging, and costly process. It also hinders the use of advanced machine learning and data-driven methods which require a substantial amount of offline training data to generate good results. It is particularly challenging for small manufacturers who do not share the resources of a large enterprise. Recently, with the introduction of the Internet of Things (IoT), data can be collected in an integrated manner across the factory in real-time, sent to the cloud for advanced analysis, and used to update the machine learning model sequentially. Nevertheless, small manufacturers face two obstacles in reaping the benefits of IoT: they may be unable to afford or generate enough data to operate a private cloud, and they may be hesitant to share their raw data with a public cloud. Federated learning (FL) is an emerging concept of collaborative learning that can help small-scale industries address these issues and learn from each other without sacrificing their privacy. It can bring together diverse and geographically dispersed manufacturers under the same analytics umbrella to create a win-win situation. However, the widespread adoption of FL across multiple manufacturing organizations remains a significant challenge. This study aims to review the challenges and future directions of applying federated learning in the manufacturing industry, with a specific emphasis on the perspectives of Industry 4.0 and 5.0."
"Active learning for data streams: a survey","https://scispace.com/paper/http://arxiv.org/abs/2302.08893v4","2023","Preprint","","Davide Cacciarelli
Murat Kulahci","10.1007/s10994-023-06454-2","https://arxiv.org/pdf/2302.08893v4","Online active learning is a paradigm in machine learning that aims to select the most informative data points to label from a data stream. The problem of minimizing the cost associated with collecting labeled observations has gained a lot of attention in recent years, particularly in real-world applications where data is only available in an unlabeled form. Annotating each observation can be time-consuming and costly, making it difficult to obtain large amounts of labeled data. To overcome this issue, many active learning strategies have been proposed in the last decades, aiming to select the most informative observations for labeling in order to improve the performance of machine learning models. These approaches can be broadly divided into two categories: static pool-based and stream-based active learning. Pool-based active learning involves selecting a subset of observations from a closed pool of unlabeled data, and it has been the focus of many surveys and literature reviews. However, the growing availability of data streams has led to an increase in the number of approaches that focus on online active learning, which involves continuously selecting and labeling observations as they arrive in a stream. This work aims to provide an overview of the most recently proposed approaches for selecting the most informative observations from data streams in real time. We review the various techniques that have been proposed and discuss their strengths and limitations, as well as the challenges and opportunities that exist in this area of research."
"A 5G Architecture for The Factory of the Future","https://scispace.com/paper/http://arxiv.org/abs/1809.09396v1","2018","Preprint","","Stephan Ludwig
Michael Karrenbauer
Amina Fellan
Hans D. Schotten
Henning Buhr
Savita Seetaraman
Norbert Niebert
Anne Bernardy
Vasco Seelmann
Volker Stich
Andreas Hoell
Christian Stimming
Huanzhuo Wu
Simon Wunderlich
Maroua Taghouti
Frank Fitzek
Christoph Pallasch
Nicolai Hoffmann
Werner Herfs
Elena Eberhardt
Thomas Schildknecht","","https://arxiv.org/pdf/1809.09396v1","Factory automation and production are currently undergoing massive changes, and 5G is considered being a key enabler. In this paper, we state uses cases for using 5G in the factory of the future, which are motivated by actual needs of the industry partners of the ""5Gang"" consortium. Based on these use cases and the ones by 3GPP, a 5G system architecture for the factory of the future is proposed. It is set in relation to existing architectural frameworks."
"On the Similarities of Embeddings in Contrastive Learning","https://scispace.com/paper/http://arxiv.org/abs/2506.09781v2","2025","Preprint","","Chungpa Lee
Sehee Lim
Kibok Lee
Jy-yong Sohn","","https://arxiv.org/pdf/2506.09781v2","Contrastive learning operates on a simple yet effective principle: Embeddings of positive pairs are pulled together, while those of negative pairs are pushed apart. In this paper, we propose a unified framework for understanding contrastive learning through the lens of cosine similarity, and present two key theoretical insights derived from this framework. First, in full-batch settings, we show that perfect alignment of positive pairs is unattainable when negative-pair similarities fall below a threshold, and this misalignment can be mitigated by incorporating within-view negative pairs into the objective. Second, in mini-batch settings, smaller batch sizes induce stronger separation among negative pairs in the embedding space, i.e., higher variance in their similarities, which in turn degrades the quality of learned representations compared to full-batch settings. To address this, we propose an auxiliary loss that reduces the variance of negative-pair similarities in mini-batch settings. Empirical results show that incorporating the proposed loss improves performance in small-batch settings."
"The Gamma Factory proposal for CERN","https://scispace.com/paper/http://arxiv.org/abs/1511.07794v1","2015","Preprint","","Mieczyslaw Witold Krasny","","https://arxiv.org/pdf/1511.07794v1","This year, 2015, marks the centenary of the publication of Einsteins Theory of General Relativity and it has been named the International Year of Light and light-based technologies by the UN General Assembly. It is thus timely to discuss the possibility of broadening the present CERN research program by including a new component based on a novel concept of the light source which could pave a way towards a multipurpose Gamma Factory. The proposed light source could be realized at CERN by using the infrastructure of the existing accelerators. It could push the intensity limits of the presently operating light-sources by at least 7 orders of magnitude, reaching the flux of the order of 10^17 photons/s, in the particularly interesting gamma-ray energy domain of 1 < Ephoton < 400 MeV. This domain is out of reach for the FEL-based light sources. The energy-tuned, quasi-monochromatic gamma beams, together with the gamma-beam-driven, high intensity secondary beams of polarized positrons, polarized muons, neutrons and radioactive ions would constitute the basic research tools of the proposed Gamma Factory. The Gamma Factory could open new research opportunities in a vast domain of uncharted fundamental physics and industrial application territories. It could strengthen the leading role of CERN in the high energy frontier research territory by providing the unprecedented-brilliance secondary beams of polarized muons for the TeV-energy-scale muon collider and the polarized- muon-beam based neutrino factory."
"Alpha MAML: Adaptive Model-Agnostic Meta-Learning","https://scispace.com/paper/http://arxiv.org/abs/1905.07435v1","2019","Preprint","","Harkirat Singh Behl
Atılım Güneş Baydin
Philip H. S. Torr","","https://arxiv.org/pdf/1905.07435v1","Model-agnostic meta-learning (MAML) is a meta-learning technique to train a model on a multitude of learning tasks in a way that primes the model for few-shot learning of new tasks. The MAML algorithm performs well on few-shot learning problems in classification, regression, and fine-tuning of policy gradients in reinforcement learning, but comes with the need for costly hyperparameter tuning for training stability. We address this shortcoming by introducing an extension to MAML, called Alpha MAML, to incorporate an online hyperparameter adaptation scheme that eliminates the need to tune meta-learning and learning rates. Our results with the Omniglot database demonstrate a substantial reduction in the need to tune MAML training hyperparameters and improvement to training stability with less sensitivity to hyperparameter choice."
"Learning Generative Models across Incomparable Spaces","https://scispace.com/paper/http://arxiv.org/abs/1905.05461v2","2019","Preprint","","Charlotte Bunne
David Alvarez-Melis
Andreas Krause
Stefanie Jegelka","","https://arxiv.org/pdf/1905.05461v2","Generative Adversarial Networks have shown remarkable success in learning a distribution that faithfully recovers a reference distribution in its entirety. However, in some cases, we may want to only learn some aspects (e.g., cluster or manifold structure), while modifying others (e.g., style, orientation or dimension). In this work, we propose an approach to learn generative models across such incomparable spaces, and demonstrate how to steer the learned distribution towards target properties. A key component of our model is the Gromov-Wasserstein distance, a notion of discrepancy that compares distributions relationally rather than absolutely. While this framework subsumes current generative models in identically reproducing distributions, its inherent flexibility allows application to tasks in manifold learning, relational learning and cross-domain learning."
"Meta-Learning Probabilistic Inference For Prediction","https://scispace.com/paper/http://arxiv.org/abs/1805.09921v4","2018","Preprint","","Jonathan Gordon
John Bronskill
Matthias Bauer
Sebastian Nowozin
Richard E. Turner","","https://arxiv.org/pdf/1805.09921v4","This paper introduces a new framework for data efficient and versatile learning. Specifically: 1) We develop ML-PIP, a general framework for Meta-Learning approximate Probabilistic Inference for Prediction. ML-PIP extends existing probabilistic interpretations of meta-learning to cover a broad class of methods. 2) We introduce VERSA, an instance of the framework employing a flexible and versatile amortization network that takes few-shot learning datasets as inputs, with arbitrary numbers of shots, and outputs a distribution over task-specific parameters in a single forward pass. VERSA substitutes optimization at test time with forward passes through inference networks, amortizing the cost of inference and relieving the need for second derivatives during training. 3) We evaluate VERSA on benchmark datasets where the method sets new state-of-the-art results, handles arbitrary numbers of shots, and for classification, arbitrary numbers of classes at train and test time. The power of the approach is then demonstrated through a challenging few-shot ShapeNet view reconstruction task."
"Emotion in Reinforcement Learning Agents and Robots: A Survey","https://scispace.com/paper/http://arxiv.org/abs/1705.05172v1","2017","Preprint","","Thomas M. Moerland
Joost Broekens
Catholijn M. Jonker","10.1007/s10994-017-5666-0","https://arxiv.org/pdf/1705.05172v1","This article provides the first survey of computational models of emotion in reinforcement learning (RL) agents. The survey focuses on agent/robot emotions, and mostly ignores human user emotions. Emotions are recognized as functional in decision-making by influencing motivation and action selection. Therefore, computational emotion models are usually grounded in the agent's decision making architecture, of which RL is an important subclass. Studying emotions in RL-based agents is useful for three research fields. For machine learning (ML) researchers, emotion models may improve learning efficiency. For the interactive ML and human-robot interaction (HRI) community, emotions can communicate state and enhance user investment. Lastly, it allows affective modelling (AM) researchers to investigate their emotion theories in a successful AI agent class. This survey provides background on emotion theory and RL. It systematically addresses 1) from what underlying dimensions (e.g., homeostasis, appraisal) emotions can be derived and how these can be modelled in RL-agents, 2) what types of emotions have been derived from these dimensions, and 3) how these emotions may either influence the learning efficiency of the agent or be useful as social signals. We also systematically compare evaluation criteria, and draw connections to important RL sub-domains like (intrinsic) motivation and model-based RL. In short, this survey provides both a practical overview for engineers wanting to implement emotions in their RL agents, and identifies challenges and directions for future emotion-RL research."
"Transfer Learning with Pre-trained Conditional Generative Models","https://scispace.com/paper/http://arxiv.org/abs/2204.12833v3","2022","Preprint","","Shin'ya Yamaguchi
Sekitoshi Kanai
Atsutoshi Kumagai
Daiki Chijiwa
Hisashi Kashima","10.1007/s10994-025-06748-7","https://arxiv.org/pdf/2204.12833v3","Transfer learning is crucial in training deep neural networks on new target tasks. Current transfer learning methods always assume at least one of (i) source and target task label spaces overlap, (ii) source datasets are available, and (iii) target network architectures are consistent with source ones. However, holding these assumptions is difficult in practical settings because the target task rarely has the same labels as the source task, the source dataset access is restricted due to storage costs and privacy, and the target architecture is often specialized to each task. To transfer source knowledge without these assumptions, we propose a transfer learning method that uses deep generative models and is composed of the following two stages: pseudo pre-training (PP) and pseudo semi-supervised learning (P-SSL). PP trains a target architecture with an artificial dataset synthesized by using conditional source generative models. P-SSL applies SSL algorithms to labeled target data and unlabeled pseudo samples, which are generated by cascading the source classifier and generative models to condition them with target samples. Our experimental results indicate that our method can outperform the baselines of scratch training and knowledge distillation."
