"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Models and Methodologies for Collecting, Processing, and Storing Heterogeneous IoT Data in the Field of Renewable Energy – а Review","https://scispace.com/paper/models-and-methodologies-for-collecting-processing-and-1kg4vtbwxbir","2024","Journal Article","","Irena Valova
Tsvetelina Kaneva
Tsvetana Halacheva
Nikolay Valov
Tsvetozar Georgiev","10.1109/ciees62939.2024.10811303","","This paper examines the models and methodologies for collecting, processing, and storing heterogeneous Internet of Things (IoT) data in the field of renewable energy. IoT technology plays a crucial role in the energy management of renewable sources such as solar, wind, and hydroelectric systems by enabling real-time monitoring and control. The study explores various data models, including those for data acquisition, prediction, and energy flow management, all of which are essential for optimizing energy production, distribution, and consumption. By integrating IoT with advanced data analytics and machine learning, energy systems can achieve greater efficiency, reduce operational costs, and support the development of smart grids. Key challenges discussed include the need for standardization of communication protocols and ensuring data security, as IoT systems handle sensitive energy information. This research highlights IoT's potential to drive innovation in renewable energy management and contribute to global sustainability goals by enhancing resource efficiency and reducing carbon emissions.","This review examines models and methodologies for collecting, processing, and storing IoT data in renewable energy, highlighting IoT's potential to optimize energy production, distribution, and consumption through real-time monitoring and advanced analytics."
"Empowering Smart Factories: The Role of Cyber-Physical Systems in Revolutionizing Autonomous Manufacturing","https://scispace.com/paper/empowering-smart-factories-the-role-of-cyber-physical-ejkm4rlcucs2","2025","Journal Article","Stallion Journal for Multidisciplinary Associated Research Studies","Harendra Pratap Singh","10.55544/sjmars.icmri.20","","The integration of Cyber-Physical Systems (CPS) in manufacturing is revolutionizing the transition to smart factories, enabling real-time monitoring, intelligent decision-making, and autonomous operations. CPS bridges physical processes with digital technologies, leveraging sensors, IoT, and AI to enhance efficiency, flexibility, and sustainability. This paper explores the architecture, functionalities, and transformative impact of CPS on autonomous manufacturing, highlighting innovations like predictive maintenance, mass customization, and resource optimization. Despite challenges such as cybersecurity and cost barriers, CPS holds immense potential to reshape manufacturing by fostering resilience and agility. Future advancements in connectivity and AI promise further breakthroughs in this domain. ",""
"IoT-Enabled Energy Monitoring and Predictive Maintenance for RenewablePowered Healthcare System","https://scispace.com/paper/iot-enabled-energy-monitoring-and-predictive-maintenance-for-f2w3j33yo2mb","2025","Journal Article","","A Kumudham
Soumya Mishra","10.71443/9789349552920-12","","The increasing integration of renewable energy sources within healthcare infrastructure has brought forward critical opportunities for sustainability, energy resilience, and operational efficiency, the dynamic nature of renewable energy systems demands intelligent oversight and predictive control to ensure uninterrupted power supply in clinical environments where reliability is non-negotiable. This book chapter explores the role of IoT-enabled energy monitoring and predictive maintenance architectures tailored for renewable-powered healthcare facilities. It presents a comprehensive examination of system design, communication protocols, sensor deployment, and real-time analytics that underpin proactive energy management. Special attention is given to the interoperability of monitoring platforms with hospital infrastructure, the implementation of secure data storage and redundancy mechanisms, and the strategic application of machine learning models for equipment health diagnostics, the chapter addresses risk mitigation through advanced cybersecurity frameworks, aligned with international compliance standards, to protect critical energy assets against digital threats. Case studies and emerging technologies are also analyzed to provide insights into real-world applications and advancements in the field. By bridging the disciplines of healthcare operations, renewable energy systems, and digital technologies, this work contributes to the evolution of intelligent, sustainable, and resilient hospital energy ecosystems. ","This book chapter explores IoT-enabled energy monitoring and predictive maintenance for renewable-powered healthcare systems, integrating system design, real-time analytics, and machine learning for proactive energy management, risk mitigation, and cybersecurity in clinical environments."
"The Role of Internet of Things (IoT) in Hybrid and Renewable Energy Systems","https://scispace.com/paper/the-role-of-internet-of-things-iot-in-hybrid-and-renewable-3qb4mipk0ayb","2025","Journal Article","","Sitaram Kumbhar
Sanjay Khot","10.1201/9781779643599-12","","The Internet of Things (IoT) is revolutionizing the hybrid and renewable energy industry by making it possible for automated, highly intelligent and efficient electrical power generation, distribution, and consumption systems. Renewable energy systems like solar panels, wind turbines, and hydropower plants can be monitored in real time with the help of IoT devices like sensors and smart meters. Data about environmental factors (such as temperature, wind speed, and sunshine intensity), energy production levels, equipment performance metrics, and other factors are gathered by these devices. This information aids in maximizing energy production and locating inefficiencies or maintenance requirements. Systems with IoT capabilities can evaluate gathered data to forecast equipment breakdowns or maintenance needs. For instance, tracking wind turbine vibration to identify possible issues, evaluating solar panel photovoltaic (PV) cell 232performance in order to detect deteriorating panels. IoT provides more intelligent integration of hybrid energy sources (such as solar, wind, and regular grid electricity) into a unified energy system. Key characteristics include dynamic load balancing based on real-time demand and energy availability, automated switching between renewable and nonrenewable sources to ensure energy supply reliability, as well as advanced battery energy storage management. IoT systems assist maximize renewable energy use and reduce reliance on fossil fuels, resulting in a lower carbon footprint. Efficient monitoring and control reduce energy waste, improving the overall sustainability of hybrid energy systems. ","The Internet of Things (IoT) enhances hybrid and renewable energy systems by enabling real-time monitoring, efficient energy production, and intelligent integration of diverse energy sources, ultimately reducing reliance on fossil fuels and minimizing energy waste."
"A review on Harnessing the Power of IoT in Renewable Energy","https://scispace.com/paper/a-review-on-harnessing-the-power-of-iot-in-renewable-energy-r8dejb2wouf9","2025","Journal Article","U.Porto journal of engineering","Kumar Singh Amit
Pradeep Kumar
Kumar Singh Amit
Pradeep Kumar","10.24840/2183-6493_0011-002_002589","","The increasing global demand for electricity, coupled with the depletion of fossil fuel reserves, necessitates the urgent adoption of renewable energy sources. The Internet of Things (IoT) emerges as a transformative technology that can significantly enhance the efficiency and management of renewable energy systems. This comprehensive review examines the applications of IoT across various renewable energy sectors including solar, wind, hydroelectric, biomass, geothermal, and tidal energy systems. The study analyzes how IoT-enabled sensors and devices facilitate real-time monitoring, predictive maintenance, and optimization of renewable energy infrastructure. Key findings reveal that IoT implementation substantially improves operational efficiency through enhanced data collection, remote monitoring capabilities, and intelligent control systems. The research identifies major applications including solar data logging, wind turbine optimization, hydroelectric power plant management, and biomass monitoring systems. However, several challenges persist, including security vulnerabilities, interoperability issues, scalability limitations, and high initial implementation costs. The study proposes cost-effective solutions such as edge computing platforms, LoRa technology for remote monitoring, and public-private partnerships to address financial barriers. Future perspectives indicate significant potential for IoT integration with artificial intelligence and machine learning technologies to create more intelligent and autonomous renewable energy systems. The findings suggest that widespread IoT adoption in renewable energy sectors will be crucial for meeting global sustainability goals and supporting the transition to a clean energy future. ","This review examines IoT applications in renewable energy, highlighting its potential to enhance efficiency and management through real-time monitoring, predictive maintenance, and optimization, but also identifies challenges and proposes cost-effective solutions for widespread adoption."
"Applications of the Internet of Things in Renewable Power Systems: A Survey","https://scispace.com/paper/applications-of-the-internet-of-things-in-renewable-power-vrj4ajhs84nk","2024","Journal Article","Energies","Jia Liu
Jia Li
Zhijian Hu","10.3390/en17164160","","The integration of the Internet of Things (IoT) with renewable energy technologies is revolutionizing modern power systems by enhancing efficiency, reliability, and sustainability. This paper examines the role of the IoT in optimizing the integration and management of renewable energy sources, such as solar and wind power, into the electrical grid. The IoT enables real-time monitoring, data analysis, and automation, facilitating advanced load management, demand response, and energy storage solutions. Key advancements in IoT technologies, including smart grids and energy management systems, are discussed, highlighting their impact on improving grid stability and promoting the use of renewable energy. The paper also finds some challenges such as data security, privacy, and the need for standardized communication protocols. Furthermore, it finds how the IoT optimizes electric vehicle performance through advanced battery management, real-time energy consumption monitoring, and improved interaction with the electrical grid. Future research directions emphasize the potential of the IoT to further enhance renewable energy integration through artificial intelligence and machine learning, driving the transition towards a more sustainable and resilient energy future. ","This survey examines the Internet of Things' (IoT) applications in optimizing renewable energy integration, enhancing efficiency, reliability, and sustainability through real-time monitoring, data analysis, and automation, while highlighting challenges and future research directions."
"Design of a Smart Factory Based on Cyber-Physical Systems and Internet of Things towards Industry 4.0","https://scispace.com/paper/design-of-a-smart-factory-based-on-cyber-physical-systems-3h62pk2i","2023","Journal Article","Applied Sciences","Mutaz Ryalat
Hisham ElMoaqet
Marwa Alfaouri","10.3390/app13042156","https://scispace.com/pdf/design-of-a-smart-factory-based-on-cyber-physical-systems-3h62pk2i.pdf","The rise of Industry 4.0, which employs emerging powerful and intelligent technologies and represents the digital transformation of manufacturing, has a significant impact on society, industry, and other production sectors. The industrial scene is witnessing ever-increasing pressure to improve its agility and versatility to accommodate the highly modularized, customized, and dynamic demands of production. One of the key concepts within Industry 4.0 is the smart factory, which represents a manufacturing/production system with interconnected processes and operations via cyber-physical systems, the Internet of Things, and state-of-the-art digital technologies. This paper outlines the design of a smart cyber-physical system that complies with the innovative smart factory framework for Industry 4.0 and implements the core industrial, computing, information, and communication technologies of the smart factory. It discusses how to combine the key components (pillars) of a smart factory to create an intelligent manufacturing system. As a demonstration of a simplified smart factory model, a smart manufacturing case study with a drilling process is implemented, and the feasibility of the proposed method is demonstrated and verified with experiments.","In this article , the design of a smart cyber-physical system that complies with the innovative smart factory framework for Industry 4.0 and implements the core industrial, computing, information, and communication technologies of the smart factory is discussed."
"Designing a Renewable Energy System for Industrial IoT with Artificial Intelligence","https://scispace.com/paper/designing-a-renewable-energy-system-for-industrial-iot-with-51yz68dc4qe4","2024","Repository","","C Menaka
Aishwary Awasthi
Dhyan Chandra Yadav
Sandeep Kumar Jain","10.1051/e3sconf/202454013008/pdf","","This paper reviews the integration of renewable energy systems with Industrial IoT (IIoT) through Artificial Intelligence (AI). It examines various studies focusing on the design and monitoring of solar-powered wireless sensor nodes in diverse IIoT settings, particularly outdoors. A proposed distributed network architecture, underpinned by open-source technologies, aims for efficient solar power harvesting and data acquisition on solar radiation and ambient parameters. This data aids in devising estimation techniques to predict solar panel voltage outputs, optimizing energy utilisation of solar-powered sensor nodes. The discourse extends to photovoltaic plants, emphasising continuous monitoring and fault detection for operational safety and reliability. Reviewed works advocate embedding AI and IoT for remote sensing, fault detection, and diagnosis, addressing challenges posed by undetectable faults. Furthermore, the paper explores AI’s transformative potential in the broader energy sector, impacting electricity production, distribution, energy storage, and efficiency. The synergy of AI, IIoT, and renewable energy systems is underscored as a conduit for enhancing energy management, operational transparency, and deploying cost-effective solutions for complex industrial challenges, significantly bolstering the efficiency and intelligence of industrial production and services. ",""
"Designing a Renewable Energy System for Industrial IoT with Artificial Intelligence","https://scispace.com/paper/designing-a-renewable-energy-system-for-industrial-iot-with-kgh8opkh0r","2024","Journal Article","E3S web of conferences","C Menaka
Aishwary Awasthi
Dhyan Chandra Yadav
Sandeep Kumar Jain","10.1051/e3sconf/202454013008","","This paper reviews the integration of renewable energy systems with Industrial IoT (IIoT) through Artificial Intelligence (AI). It examines various studies focusing on the design and monitoring of solar-powered wireless sensor nodes in diverse IIoT settings, particularly outdoors. A proposed distributed network architecture, underpinned by open-source technologies, aims for efficient solar power harvesting and data acquisition on solar radiation and ambient parameters. This data aids in devising estimation techniques to predict solar panel voltage outputs, optimizing energy utilisation of solar-powered sensor nodes. The discourse extends to photovoltaic plants, emphasising continuous monitoring and fault detection for operational safety and reliability. Reviewed works advocate embedding AI and IoT for remote sensing, fault detection, and diagnosis, addressing challenges posed by undetectable faults. Furthermore, the paper explores AI’s transformative potential in the broader energy sector, impacting electricity production, distribution, energy storage, and efficiency. The synergy of AI, IIoT, and renewable energy systems is underscored as a conduit for enhancing energy management, operational transparency, and deploying cost-effective solutions for complex industrial challenges, significantly bolstering the efficiency and intelligence of industrial production and services. ","The integration of renewable energy systems with Industrial IoT (IIoT) through Artificial Intelligence (AI) enhances energy management, operational transparency, and cost-effectiveness in industrial settings."
"Enhancing Sustainability: Exploring IoT Integration in Renewable Energy Infrastructure","https://scispace.com/paper/enhancing-sustainability-exploring-iot-integration-in-1p0apph0k0","2024","Journal Article","","Dr. N. Vasantha Gowri
Dr. T. Murali Krishna
Dr. G. Suresh babu
Dr. K. Krishnaveni","10.47392/irjaeh.2024.0111","","The management and utilization of sustainable resources have undergone a significant transformation as a result of the integration of Internet of Things (IoT) technology into the renewable energy sector. IoT has simplified the optimization of renewable energy sources, including solar, wind, and hydropower, by leveraging sensor technology, data analytics, and connectivity. This optimization has resulted in major advances in energy production efficiency, equipment maintenance procedures, and the smooth integration of renewable energy into established power grids. Operators can optimize energy output while reducing waste by adjusting operations in real time through continuous monitoring and analysis of data gathered from IoT-enabled sensors. Moreover, by predicting and fixing possible problems before they arise, predictive maintenance algorithms significantly contribute to increased equipment reliability by lowering downtime and operating expenses. Furthermore, IoT systems allow for dynamic modifications to energy flow, guaranteeing the stability and dependability of the integration of renewable energy sources into the current power networks. This research investigates the use of IoT technology in the renewable energy sector in detail, exploring its several uses and assessing how it affects industry standards, sustainability goals, and the overall energy environment.","This research investigates the use of IoT technology in the renewable energy sector in detail, exploring its several uses and assessing how it affects industry standards, sustainability goals, and the overall energy environment."
