"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Learning Factory for Digitization of Enterprises.","https://scispace.com/paper/learning-factory-for-digitization-of-enterprises-ra6tytmful","2020","","","Jens Mathis Rieckmann
Thomas Knothe","","https://scispace.com/pdf/learning-factory-for-digitization-of-enterprises-ra6tytmful.pdf","","Title: Learning Factory for Digitization of Enterprises Authors: Jens Mathis Rieckmann (Corresponding Author),Thomas Knothe Keywords: Learning factory, training, employee education, Industry 4.0, smart manufacturing, transformation"
"Energy Efficiency and Industry 4.0 in Wood Industry: A Review and Comparison to Other Industries","https://scispace.com/paper/energy-efficiency-and-industry-4-0-in-wood-industry-a-review-3fvnp8s6","2022","Journal Article","Energies","Mohamed Anis Haddouche
Adrian Ilinca","10.3390/en15072384","https://scispace.com/pdf/energy-efficiency-and-industry-4-0-in-wood-industry-a-review-3fvnp8s6.pdf","This paper presents a literature review of recent research on introducing the Industry 4.0 approach to improving energy efficiency, especially in the wood industry. While researchers focus on processes, service, and customer concepts, the effect on energy consumption is less addressed in these studies and applications. This paper focuses on previous works that discuss how to apply Industry 4.0 concepts to energy issues, such as to achieve better efficiency and performance for the industry in general and the wood industry in particular. The complexity of the study requires a multistep development. First, we define each concept separately and the relationships between them. Second, we apply a search algorithm to find related articles with specific terms, and then use the PRISMA method to select the most important ones, eliminating duplicates and excluding articles that do not mention energy efficiency and Industry 4.0 in the manufacturing or wood industry. Third, we explain and categorize the results and consolidate the study with brief examples from other industries. Finally, we conclude the study by mentioning the limitations and perspectives.","Thus, energy usage needs to be controlled, monitored, and optimized as much as possible. However, the first challenge is understanding automated production systems, especially energy management systems . The pillars of Industry 4.0 in energy efficiency can be considered as follows: •:
 IoT and Cloud computing: equipping machines and plants with smart sensor systems and embedded software with connectivity; • Big Data: receiving data from smart sensor systems generates huge amounts of data, which provides an environment for Big Data systems. Big Data allow for improved process optimization and energy consumption; • Vision technologies: enabling visualization of energy flows and a training tool for employees; • Cybersecurity: The role of cybersecurity is crucial in Industry 4.0 and the appropriate safeguards that must be applied to prevent cyber-attacks . Limitations of This Review:
 Despite the intent of this paper to be comprehensive, some limitations accompany a literature review. The literature search process is primarily based on the definition of a set of keywords , so we may not have identified and incorporated all of the keywords necessary to find the relevant publications below or may have missed some relevant studies. Therefore, we cannot guarantee completeness, although we believe we were able to incorporate most of the significant contributions. In addition, the literature selection process may be affected by researcher bias and subjective views. We have tried to limit predispositions by taking as objective a view as possible in the selection process . Then, the complexity of the phenomena, the recency of the concepts (the notion of Industry 4.0 appeared in 2011), and the neglect of the energy efficiency field impact the quality and number of studies found primarily in the wood industry. Conclusion and Recommendations:
 We developed our strategy to conduct a systematic literature review on Industry 4.0 and energy efficiency in the wood industry during this study. Due to their complexity, we defined each concept separately, unpacked the complex phenomena, and made connections between the concepts. This technique allowed us (1) to better understand the phenomena, (2) to properly select the articles, and (3) to focus on the most significant concepts. Conclusion and Recommendations:
 As mentioned before, the junction of three notions (Industry 4.0, energy efficiency, and the wood industry) is not apparent, so we gave examples to show the points of difference and similarity with other industries. Conclusion and Recommendations:
 To develop a good literature review in this field of study, we recommend going into detail, studying a practical case, and comparing it with the concepts. Conclusion and Recommendations:
 In conclusion, a good literature review is an essential tool for research. Therefore, we hope that our work will help researchers build their next research on this treated topic and use the derived categories in their next work ."
"A Literature Survey of Energy Sustainability in Learning Factories","https://scispace.com/paper/a-literature-survey-of-energy-sustainability-in-learning-3r7pnk31m8","2020","Proceedings Article","International Conference on Industrial Informatics","Fadi Assad
Sergey Konstantinov
Emma Rushforth
Daniel A. Vera
Robert Harrison","10.1109/INDIN45582.2020.9442119","https://scispace.com/pdf/a-literature-survey-of-energy-sustainability-in-learning-3r7pnk31m8.pdf","Commercial competence to satisfy customer demands requires companies to provide the necessary skilled engineering staff and fight against time to achieve that. Learning Factories (LF) aim to provide training and education so that the manufacturing facility can respond to its production aims. However, the implementation of learning factories concept is adopting different styles especially with the rise of Industry 4.0. On the other hand, sustainability concerns are becoming more serious and need to be fulfilled due to the recent climate changes. In this paper, a literature survey of the recent developments in this field is conducted with regards to energy sustainability. In particular, an analysis of the pedagogical aspect in terms of the applied learning theories, curriculum design and learning environment is explored. Further, some criticisms based on the analysis are put forward, and some research topics are suggested in relation to both the pedagogical and technical aspects.","SUGGESTIONS: Also for Virtual Reality (VR), puts forward the use of a VR application to assist the trainees. Also, proposes a framework of the Smart Learning Factory in which Augmented/Virtual reality technologies are planned to be into action. III. DISCUSSION AND SUGGESTIONS:
 Industry 4.0 constitutes a challenge to companies in terms of human resources development . Further,  shows caution about digitalisation as the learners become more attracted to the software interface, and degrade their competency of method-based acting, applied measurement and analysis questioning. However, there is a great potential of increasing sustainability. Once the infrastructure of Industry 4.0 and its enablers is established, this infrastructure can be shared with the education/training institutions. The following step is the design of sustainability requirements plan in general and energy sustainability in particular. The concepts of energy and resources efficiency in LF are still shallow, and have not been applied in a digitalised production system so far . The authors suggest a framework of harmonising the education/training process with Industry 4.0 technologies to support Energy Life Cycle (ELC) in the manufacturing facility (Figure ). ELC includes energy generation/conversion on-site, utilisation in production/manufacturing and building services, monitoring for the purposes of modelling, standardisation and finally multi-level optimisation. These ELC stages should establish the basis of analysis. Then, the pedagogical and technical aspects are tailored based on the required competences. The abundant data collected with Internet of Fig. . A framework of energy sustainability education in LF Things (IoT) can be stored in the Cloud. Next, processing the Big Data allows creating the Digital Twin (DT) and Digital Shadow (DT). Thus, it becomes visible to visualise the performance in VR and build the Cyber-Physical System (CPS). Data availability is not limited to the equipment, the trainee's performance can be recorded, analysed and modelled as well. The aforementioned tools serve this purpose, this way, the training time can be estimated and the cost of training courses can be predicted while, on the pedagogy side, objectives can be more precise, learning environment more flexible and assessment more authentic. B. Scalability of Industrial Processes:
 In  learning environments are classified into: model scale and industrial scale, then their pros and cons are presented. One reason for scaling the industrial processes is to ensure that the students can work self-guided safely . However, this raises the questions "" What is the degree of scalability to be considered in designing sustainable LF?"" and ""How can the modelling/simulation capabilities affect the scalability measures or replace scaled equipment/processes?"". C. Sustainable LF as an Exchangeable Model:
 The suggested LF models should be exchangeable at the national strategic planning levels. Examples of the information to be contained in this model can be: the relation between the level of automation, the contribution of renewable energy and the staff trained to develop equipment to be more sustainable. The scalability of this model should also be tested and verified. As sustainability is a general demand, sustainable industrial models should be exchangeable even if commercialised."
"Conversion of a Manufacturing Lab as a Learning Factory to Educate Factories of the Future Concept","https://scispace.com/paper/conversion-of-a-manufacturing-lab-as-a-learning-factory-to-2nzydu6t","2023","Book Chapter","","Michael Bies","10.1007/978-3-031-28839-5_92","https://scispace.com/pdf/conversion-of-a-manufacturing-lab-as-a-learning-factory-to-2nzydu6t.pdf","Abstract The demand for enhancing the flexibility and efficiency of the manufacturing industry has rapidly increased over the years due to mass customization to cater to the needs of society. The conventional manufacturing industry could not survive these rapid changes. Though, the manufacturing sector is the forerunner to embrace technological paradigm shift, which paves the way for Industry 4.0 or the 4th industrial revolution. With Industry 4.0, now many world leaders are moving towards a new concept called “Factories of the Future” (FoF), which predominantly engages with the cyber-physical world to digitalize manufacturing while maintaining a strong link between hardware and the cyber-physical world. To perform any manufacturing, engineering teaching/learning programs should introduce these concepts with some practical exposure, which will enable students to contribute to the manufacturing industry all around the world. Therefore, this study focuses on converting an old manufacturing lab into a learning factory to promote FoF concept. This is achieved by enabling existing manufacturing machines to be digitally connected via Industry 4.0 while creating connections with the other machines to create flexible manufacturing systems (FMS). Competencies in integrated scheduling of machine centers and autonomous material handling systems were also explored. Furthermore, the study suggested that the conversion of the manufacturing lab needs to be done in many different integration platforms. ","Kulatunga (Corresponding Author),Mahanama Dharmawardhana Keywords: Learning Factory, Factories of the Future (FoF), Industry 4.0, Internet of Things (IOT), Flexible Manufacturing System, Integrated Scheduling Introduction:
 The manufacturing sector currently contributes 16% to the global GDP , which makes it one of the essential factors contributing to the imports and exports of any country. Given the importance of manufacturing as a source of revenue for any country, fostering excellence has become a strategic priority which makes the manufacturing industries more competitive and demanding. To cope with this highly competitive environment, the manufacturing industry needs to be more flexible and more efficient. This furtherance in the manufacturing environment requires a technological paradigm shift that paves the way for the Factories of the Future (FoF) concept, which is enabled by Industry 4.0 or the 4th industrial revolution. The FoF concept encourages future-oriented manufacturing that implements intelligent and sustainable processes using cutting-edge digital technologies . It makes creative, efficient, and optimized use of resources and energy. Industry 4.0 refers to the present trend in both professional and academic fields of industrial technology automation and data sharing, which includes cyber-physical systems, the Internet of Things (IoT), cloud computing, and cognitive computing, as well as the creation of the smart factory . Introduction:
 Industry 4.0 is based on the use of digital technology to collect and analyze data in real-time, delivering important data to the manufacturing system . When it comes to developing nations, it is very difficult to acquire these state-of-the-art manufacturing facilities due to the lack of funding. As a solution to this problem, consideration was taken place to use a few old conventional manufacturing machines for this study. However, to accommodate the 4th industrial revolution and its technologies, the old manufacturing machines need to be digitalized to a certain extent for data collection and data analysis. Introduction:
 Before considering a full-fledged industry, to perform any manufacturing, the education sector needs to adapt and expose these cutting-edge technologies to the students for them to be able to contribute to the manufacturing industry all around the world. Therefore, the educational paradigm needs to address the emerging challenges of the manufacturing sector by practicing in an industry-relevant environment with more modern and realistic manufacturing practices called the learning factory (LF), which has facilities to learn multidisciplinary abilities, skills to synthesize, and adaptability to a variety of situations . Even though there are many studies on the usage of industry 4.0, there are no significant studies on the conversion of old conventional manufacturing machines using Industry 4.0 technologies, especially in an LF. Therefore, this study paid particular attention to LF to educate of FoF concept. Introduction:
 This study also explored Flexible Manufacturing Systems (FMS), competencies of integrated scheduling of machine centers, and material handling systems in a learning factory. A flexible manufacturing system facilitates flexibility of the system to improve productivity and lower the work-in-process inventory . Integrated scheduling in production involves scheduling, batching, and coordination of delivery decisions to achieve optimization in operational performance ."
"IoT Applications Computing","https://scispace.com/paper/iot-applications-computing-39pm3xqq","2022","Book","","","10.5772/intechopen.87800","https://scispace.com/pdf/iot-applications-computing-39pm3xqq.pdf","The evolution of emerging and innovative technologies based on Industry 4.0 concepts are transforming society and industry into a fully digitized and networked globe. Sensing, communications, and computing embedded with ambient intelligence are at the heart of the Internet of Things (IoT), the Industrial Internet of Things (IIoT), and Industry 4.0 technologies with expanding applications in manufacturing, transportation, health, building automation, agriculture, and the environment. It is expected that the emerging technology clusters of ambient intelligence computing will not only transform modern industry but also advance societal health and wellness, as well as and make the environment more sustainable. This book uses an interdisciplinary approach to explain the complex issue of scientific and technological innovations largely based on intelligent computing. ","the blade is change. There is no way to know the blade is changed without some user input or long-term data analysis. If there are students who work through this application at a faster rate, they can be asked to implement current monitoring as well. Conclusion:
 The term IoT was coined in 1999 and it led to the evolution of IIoT enabled by other technologies that were being developed independently of each other. These technologies include such as: cyber-physical systems & cybersecurity; edge and cloud computing; mobile technologies; machine-to-machine communication; 3D printing; advanced robotics; big data; RFID technology; and AI. The SEPT Learning Factory is state-of-the art facility at McMaster University for the demonstration of integration of these technologies as well as development of educational/training material and resources, new technologies, and applied research. Conclusion:
 Based on AI modeling the Fan Fault Detection and Diagnosis System described is able determine a fault state that was not included in training the AI model. The IIoT Vibration Demonstration Station using the neural networking model can detect the machine fault in real-time and publish the outcome on a dashboard connected via MQTT platform. The Machine Health Monitoring and Prediction Platform on the other hand combines the best features of the last two models for advanced predictive maintenance learning concepts and real-time demonstrations. This station has been developed, with an embedded vibration sensor and other sensors, that analyses a system for faults and transmits information wirelessly. Students will be able to report errors such as general imbalances, mechanical failure, resonance, electrical faults, and critical speeds. It can be easily extended to further application demonstrations such as bearing faults, AI modeling using multiple sensor inputs and analysis. Conclusion:
 In this chapter we have described IIoT machine health monitoring foundations, models and applications for education and training. We have also illustrated how these models can be extended for development of predictive maintenance using AI technology. Edited by Ishwar Singh, Zhen Gao and Carmine Massarelli:
 The evolution of emerging and innovative technologies based on Industry 4.0 concepts are transforming society and industry into a fully digitized and networked globe. Sensing, communications, and computing embedded with ambient intelligence are at the heart of the Internet of Things (IoT), the Industrial Internet of Things (IIoT), and Industry 4.0 technologies with expanding applications in manufacturing, transportation, health, building automation, agriculture, and the environment. It is expected that the emerging technology clusters of ambient intelligence computing will not only transform modern industry but also advance societal health and wellness, as well as and make the environment more sustainable. This book uses an interdisciplinary approach to explain the complex issue of scientific and technological innovations largely based on intelligent computing."
"IIoT Machine Health Monitoring Models for Education and Training","https://scispace.com/paper/iiot-machine-health-monitoring-models-for-education-and-rc91rwd9st","2021","Book Chapter","","Ishwar Singh
Sean Hodgins
Anoop Gadhrri
Reiner Schmidt","10.5772/INTECHOPEN.99032","https://scispace.com/pdf/iiot-machine-health-monitoring-models-for-education-and-rc91rwd9st.pdf","IoT, IIoT and Industry 4.0 technologies are leading the way for digital transformation in manufacturing, healthcare, transportation, energy, retail, cities, supply chain, agriculture, buildings, and other sectors. Machine health monitoring and predictive maintenance of rotating machines is an innovative IIoT use case in the manufacturing and energy sectors. This chapter covers how machine health monitoring can be implemented using advanced sensor technology as a basis for predictive maintenance in rotating devices. It also covers how sensor data can be collected from the devices at the edge, preprocessed in a microcontroller/edge node, and sent to the cloud or local server for advanced data intelligence. In addition, this chapter describes the design and operation of three innovative models for education and training supporting the accelerated adoption of these technologies in industry sectors.","IIoT Machine Health Monitoring Models for Education and Training Authors: Ishwar Singh,Sean Hodgins,Anoop Gadhrri,Reiner Schmidt Keywords: IoT and IIoT, Machine Health Monitoring, Neural Network, Predictive Maintenance, Wireless Monitoring Introduction:
 To improve safety and performance, manufacturing companies have been considering the adoption of advanced technologies, as stipulated in Industry 4.0 reports. These technologies include IoT/IIoT, big data and analytics, smart factory, cyber-physical systems (CPS), and interoperability of automation equipment. Over the last few years Artificial Intelligence (AI) has comeback with a vengeance not seen before in any of modern technology implementations. AI and IoT/IIoT are driving forces in Industry 4.0 with applications in manufacturing, oil and gas, utilities, banking, aerospace and defense, healthcare, retail, telecommunications, smart cities, and transportation. Artificial intelligence's impact on manufacturing can be organized into the following main areas: product quality and yield, predictive maintenance, collaborative robots, generative design, supply chain management and safer work environment. Introduction:
 While there are a lot of papers written about predictive maintenance and AI applications , but there is a lack of machine health predictive maintenance teaching and training models for university level courses as well as facilities for providing hand-on interactive experiences in the use of IoT/IIoT and Industry 4.0 platforms. To address this need SEPT created a learning factory and a framework for learning these technologies as well as designed and developed machine health monitoring models. Introduction:
 To reinforce hands-on learning two key aspects of machine health monitoring are presented in this chapter: foundational technologies such as sensors for predictive maintenance, IoT and IIoT ecosystem, and CPS monitoring tools; the second aspect covers in detail the design, development, and implementation of machine health learning models along with implementation of AI tools for real-time data generation, preprocessing it and sending to the cloud or local server for data analytics and visualization. These models provide an opportunity for developing and learning multidisciplinary and multi-capability skills in a laboratory setting. SEPT learning factory:
 The engineering education is witnessing revolutionary changes in response to the huge demand for engineers with high industry 4.0 competencies. Engineering graduates will need to learn IoT and IIoT as the foundation for implementing Industry 4.0 concepts in industrial operations. The school of Engineering Practice and Technology (SEPT) at McMaster University has recently made huge effort to integrate IoT, IIoT and Industry 4.0 in the undergraduate and graduate curriculum . SEPT learning factory:
 In the undergraduate Automation Engineering Bachelor of Technology offered by SEPT, a new smart systems specialization is introduced in the fourth year, where the offered courses focus on IoT. The other option is the Industrial Automation specialization. A new introductory IoT course (SMRTTECH 3CC3) was developed and offered for the first time at the 3A level in the fall of 2019. The purpose of this course is to introduce the students to the fascinating world of IoT before choosing their specialization for the fourth year and before going to their mandatory co-op training ."
"Gearing up education towards Industry 4.0","https://scispace.com/paper/gearing-up-education-towards-industry-4-0-40cic0umxd","2018","Journal Article","International Conference on Bioinformatics","Krishnan Umachandran
Igor Jurcic
Debra Ferdinand-James
Mohamed Mohamed Tolba Said
Adnan Abd Rashid","10.24297/IJCT.V17I2.7754","https://scispace.com/pdf/gearing-up-education-towards-industry-4-0-40cic0umxd.pdf","Industry has changed creatively with manufacturing systems and technological applications supplementing in the work preparation, reporting variants, methods and resources for effective production management by constant improvements and usage has matured it way to Industry 4.0. Industry has undergone various revolutions up to now, and through cyber-physical systems would communicate, collaborate in real time of the process and product value stream. Technology upgrades will bring optimization in various resource utilization and focus on satisfying customers even over their ever increasingly demand. The gadgetry conveniences would bring the wearable’s and embedded handle large databases for dynamic mining and interpretations obsoleting the necessity of strain in carrying laptops or pads.  Innovation would be successful as it facilitates quick product developed self-customized for use at the shortest development time. Student-centered learning, learning consequences will have lifelong erudition where educational institutions will develop robust integrated systems and infrastructure to facilitate learning by doing rather than by the conventional learning. New age of Industry 4.0 will bring in a considerable change in physical world as in the virtual facilitation enabled by digital connect shrinking the distances, removing differences, and conducting real time transfer knowledge and material transfer globally. Being technologically prepared is the need of the time then to wait for the opportunity to push the educational system to change, where the time loss would handicap the economy and younger generations to be forced to compete even with perceived incapable and smaller frugalities.","agility by tapping into data which are completely new or that was never before known earlier. Customized dynamic decisions with intelligence of no perceived boundaries are now possible with big data analytics(Umachandran K., Ferdinand-James D., 2017). Evolving new business:
 The new era of manufacturing is evolving to be marked by highly agile, application of leading-edge technical knowledge integrated and self-morphing resource talents are necessary to effectively apply cutting edge in science and technology systems of smart services and process excellence (Foresight., 2013).Industry 4.0 aims to create new products and services, define new business models that could differentiate the competing market players by improving of customer experience through potential services and the role of telecommunication in them (I. Jurčić, K. Umachandran, V. Della Corte, G. del Gaudio, V. R.Aravind, D. Ferdinand-James., 2018). Medical innovations have moved to artificial culturing and development of replaceable body parts and supports to improve longevity and health improvements in the historical annals of mankind. Higher learning has already evolved from lecturing system to flipped learning concept, which would still be continued to be reborn with more facets with the support of virtual learning in the days to come. Data is the significant component in the farm segment to be more prolific, justifiable and endure competition in a comprehensive setting. Educational institutions that dare to risk for moving towards innovatively accommodate industry 4.0 are ending to a catastrophe in supply of people resources to the modern industries. The use of sensors and universalization of control systems on interconnected individual farm devices consume a great stretch on application due to technological maturity and innovative improvements for a superior optimization potential accessible through data procedures. Development is going to be continuous and the only limitation to it is the creativity block. Higher education is already losing the course concentrations of core specializations to inter/multi disciplines, which will eventually become hybrid specializations.This exciting development will further spur the interest of the SME enterprises, prompting encompassing adaptation to move up the value chain in becoming front-end manufacturer's feasibility to become Industrial 4.0compliant. Industry 4.0 covers progressive analytics, innovative human-machine touch points, digital-to-physical assignment knowledge, and information communication systems are needed to meet the challenges with educational facilities meticulously similar to real-life setups that are capable towards delivering actual and effectual coaching (S.M Sackey., A. Bester., D. Adams., 2017)."
"Energy System 4.0: Digitalization of the Energy Sector with Inclination towards Sustainability","https://scispace.com/paper/energy-system-4-0-digitalization-of-the-energy-sector-with-1mstg60x","2022","Journal Article","Sensors","Rajesh Singh
Shaik Vaseem Akram
Anita Gehlot
Dharam Buddhi
Neeraj Priyadarshi
Bheki Twala","10.3390/s22176619","https://scispace.com/pdf/energy-system-4-0-digitalization-of-the-energy-sector-with-1mstg60x.pdf","The United Nations’ sustainable development goals have emphasized implementing sustainability to ensure environmental security for the future. Affordable energy, clean energy, and innovation in infrastructure are the relevant sustainable development goals that are applied to the energy sector. At present, digital technologies have a significant capability to realize the target of sustainability in energy. With this motivation, the study aims to discuss the significance of different digital technologies such as the Internet of Things (IoT), artificial intelligence (AI), edge computing, blockchain, and big data and their implementation in the different stages of energy such as generation, distribution, transmission, smart grid, and energy trading. The study also discusses the different architecture that has been implemented by previous studies for smart grid computing. Additionally, we addressed IoT-based microgrids, IoT services in electrical equipment, and blockchain-based energy trading. Finally, the article discusses the challenges and recommendations for the effective implementation of digital technologies in the energy sector for meeting sustainability. Big data for energy analytics, digital twins in smart grid modeling, virtual power plants with Metaverse, and green IoT are the major vital recommendations that are discussed in this study for future enhancement.","empowers the creation of a smart contract with hash cryptography. This technology inspires the implementation of energy trading in a transparent, secure, and immutable manner. It has been identified that the blockchain is majorly utilized in energy trading for households, industries, etc. Conclusions:
 Based on the analysis in the article, the study has formulated vital recommendations that can be applied in future work. These recommendations are formulated with the importance of technical capability in resolving the problems in the energy system with efficiency and sustainability. It is challenging to implement all these technologies in the energy system. However, to enhance the infrastructure of the energy system, this study suggested recommendations with individual technologies. The implementation of digital twins and Metaverse are some of the latest technologies that have already gained significant attention for smart grid modeling and the development of virtual power plants. Conclusions:
 Regarding the highlights of this study, we discussed the integration of IoT, blockchain, and AI with an architectural perspective in the different sub-systems of the energy system for achieving real-time monitoring with intelligence and predictive analytics. Based upon analysis, the article presented vital recommendations for individual technology integration in energy for multiple applications. A limitation of the current study is that it has addressed only three enabling technologies of Industry 4.0. The study will be further extended with the discussion of other enabling technologies as a part of future work."
"Populating the Dimensions of Industry 4.0 for framework development","https://scispace.com/paper/populating-the-dimensions-of-industry-4-0-for-framework-7tsqtbwm","2022","Journal Article","International journal of latest engineering and management research","Prof Sandhya Kumar
Prof Shanti Krishnan
Dr. Shailesh Kumar","10.56581/ijlemr.7.11.26-32","https://scispace.com/pdf/populating-the-dimensions-of-industry-4-0-for-framework-7tsqtbwm.pdf","","RAMI4.0 is to present the definitive characteristics mentioned in Chapter 2 of Industry 4.0 in a single model . This, then rules out the use of the model as a framework or methodology for the implementation of Industry 4.0. I. Introduction:
 The use of simulation software and digital factory models, is useful for testing new alternatives or scenarios before implementing them in the real factory. Their use for implementation scenarios has however, proved less useful in the case of Industry 4.0, where the final state still remains latent. A simulation or digital model also does not provide companies with the necessary change in employee behaviors or [4] skills development, which was noted by companies as one of the top implementation challenges. Since Industry 4.0 also incorporates, to a large extent, new technologies or applications thereof, it is a difficult concept to simulate. A different form of testing scenarios is thus called for, since the trial-and-error costs of implementing such technological changes directly on site, would be, simply put, unaffordable.  CIRP, a production engineering research organization, uses learning factories as research and testing tools for experimental work and showcasing. Such a learning factory is a small-scale factory, in which production of a product takes place, in order to showcase methods taking place in an actual factory, and provides both hands-on training for employees, but also allows for the experimental implementation of new methods without the costs of disrupting actual production lines. Learning factories are, as mentioned by , almost risk-free tools and environments where users, which comprise of industry participants and students, can learn how industry related concepts work as well as try out new ideas. As such, the idea for this thesis was to implement Industry 4.0 concepts within learning factories so that the benefits and possibilities can be showcased to industry partners, as well as to students. This will allow students and/or companies to physically see the effects that Industry 4.0 can have on a production environment, without having to carry the costs themselves. It will allow them to experiment with various scenarios in practice, before determining the more suitable implementation for their specific case. II. Learning Factory:
 According to , a learning factory is a factory environment, where all processes and technologies inside it are based on real industrial sites, more specifically SMEs. Learning factories provide a reality-conform production environment as a learning environment where only minor abstractions are possible, providing participants with a practical learning experience. III. Elements of Learning Factory:
 Various learning factories were analyzed and studied in order to segment the individual parts that make up a learning factory. Among these learning factories were the ESB Logistics Learning Factory at Reutlingen University and Darmstadt Learning Factory in Germany, the Budapest University Learning Factory in Hungary, the Vienna Learning Factory in Austria, and the Split Learning Factory in Croatia. For the purpose of this project, the following definitions were created for the elements of a learning factory, as identified during the analyses of the various learning factories."
"Benchmarking Time Series Databases with IoTDB-Benchmark for IoT Scenarios","https://scispace.com/paper/benchmarking-time-series-databases-with-iotdb-benchmark-for-dktk45i6cd","2019","Posted Content","arXiv: Databases","Rui Liu
Jun Yuan","","https://scispace.compdf/benchmarking-time-series-databases-with-iotdb-benchmark-for-dktk45i6cd.pdf","With the wide application of time series databases (TSDBs) in big data fields like cluster monitoring and industrial IoT, there have been developed a number of TSDBs for time series data management. Different TSDBs have test reports comparing themselves with other databases to show their advantages, but the comparisons are typically based on their own tools without using a common well-recognized test framework. To the best of our knowledge, there is no mature TSDB benchmark either. With the goal of establishing a standard of evaluating TSDB systems, we present the IoTDB-Benchmark framework, specifically designed for TSDB and IoT application scenarios. We pay close attention to some special data ingestion scenarios and summarize 10 basic queries types. We use this benchmark to compare four TSDB systems: InfluxDB, OpenTSDB, KairosDB and TimescaleDB. Our benchmark framework/tool not only measures performance metrics but also takes system resource consumption into consideration.","Title: Benchmark Time Series Database with IoTDB-Benchmark for IoT Scenarios Authors: Rui Liu,Jun Yuan Keywords: benchmark, time series database, performance evaluation"
